
1682145423323 :: getCall ::  :: 1682145423323 :: 
HTTPSConnectionPool(host='api.fyers.in', port=443): Max retries exceeded with url: /api/v2/orders?id=23031100002109 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001DC3C113BD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
1682145423323 :: orderBook ::  :: 1682145423324 :: response
ERROR  : 'dict' object has no attribute 'json'
1682145661684 :: orderBook ::  :: 1682145661816 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1682146378535 :: orderBook ::  :: 1682146378642 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1682148368777 :: orderBook ::  :: 1682148368889 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1682148513074 :: orderBook ::  :: 1682148513191 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1682148573932 :: orderBook ::  :: 1682148574074 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token'}

1682148596026 :: orderBook ::  :: 1682148596212 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148596216 :: orderBook ::  :: 1682148596429 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148596432 :: orderBook ::  :: 1682148596635 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148596638 :: orderBook ::  :: 1682148596813 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148596816 :: orderBook ::  :: 1682148597004 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148597008 :: orderBook ::  :: 1682148597192 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

1682148597195 :: orderBook ::  :: 1682148597369 :: {'s': 'ok', 'code': 200, 'message': '', 'orderBook': [{'clientId': 'XD08685', 'id': '23042200000536', 'exchOrdId': '', 'qty': 1, 'remainingQuantity': 1, 'filledQty': 0, 'discloseQty': 0, 'limitPrice': 543, 'stopPrice': 0, 'tradedPrice': 0, 'type': 1, 'fyToken': '10100000003045', 'exchange': 10, 'segment': 10, 'symbol': 'NSE:SBIN-EQ', 'instrument': 0, 'message': '', 'offlineOrder': True, 'orderDateTime': '22-Apr-2023 12:21:25', 'orderValidity': 'DAY', 'pan': '', 'productType': 'INTRADAY', 'side': -1, 'status': 6, 'source': 'API', 'ex_sym': 'SBIN', 'description': 'STATE BANK OF INDIA', 'ch': 2.85, 'chp': 0.53, 'lp': 543.15, 'slNo': 5, 'dqQtyRem': 0, 'orderNumStatus': '23042200000536:6', 'disclosedQty': 0}]}

